Subregion,StreamName,Stream_Number,2008,2009,2010,2011,2013,2014,2015,2017,2018,2019,2020,2021
NSE Inside,North Arm Creek,108-41-010,560,891,360,1324,1981,650,1222,3000,710,804,339,243
NSE Inside,Tyee Head East,109-30-016,500,3048,400,3534,7647,200,1200,7407,2912,3298,1392,1786
NSE Inside,Saginaw Bay S Head,109-44-037,540,300,417,676,1500,502,895,1498,589,667,282,361
NSE Inside,Saginaw Creek,109-44-039,200,200,600,300,900,1600,545,912,359,700,173,223
NSE Inside,Lookout Point Creek,109-45-017,300,323,234,379,500,277,494,827,325,368,156,199
NSE Inside,Rowan Creek,109-52-007,708,100,543,881,1965,658,1172,1962,2000,894,377,484
NSE Inside,Sample Creek,109-62-014,1000,150,4300,660,1466,491,875,1464,5000,725,306,393
NSE Inside,Petrof Bay W Head,109-62-024,200,50,200,373,858,600,519,869,2500,423,179,229
NSE Inside,Dry Bay Creek,110-13-004,139,700,1776,1371,1503,330,912,1204,300,2100,450,300
NSE Inside,Amber Creek,110-22-004,500,700,1000,300,723,242,432,722,284,322,136,174
NSE Inside,Donkey Creek,110-22-012,800,400,500,2700,4900,1600,800,4000,4000,800,1118,500
NSE Inside,Cannery Cove-Pybus Bay,110-22-014,600,900,780,1100,1900,300,200,2050,510,1020,431,2500
NSE Inside,Johnston Creek,110-23-008,200,747,540,200,1200,250,700,1838,723,300,342,439
NSE Inside,Bowman Creek,110-23-010,400,200,800,100,700,800,571,1000,377,427,180,231
NSE Inside,Snug Cove-Gambier Bay,110-23-019,100,200,700,100,500,298,531,2500,374,423,179,229
NSE Inside,East of Snug Cove,110-23-040,100,546,500,641,1417,1400,867,1452,571,300,271,347
NSE Inside,Chuck River,110-32-009,400,1600,600,682,7100,1800,4500,1500,600,1000,365,468
NSE Inside,Lauras Creek,110-33-013,900,722,300,1088,1882,630,3500,1975,776,879,371,476
NSE Inside,Glen Creek,110-34-006,400,200,850,400,1900,1500,900,800,562,636,600,347
NSE Inside,Sanborn Creek,110-34-008,1500,1200,700,2000,3400,1300,250,2500,1322,800,627,805
NSE Inside,Mole River,111-13-010,876,944,2500,1900,1700,841,1499,2509,250,1200,703,750
NSE Inside,Windfall Hbr W Side,111-15-024,300,466,300,400,1207,200,1500,1228,0,539,227,20
NSE Inside,Pack Creek,111-15-030,950,1000,2100,1900,3100,1349,2405,4025,100,125,1000,945
NSE Inside,Swan Cove Creek,111-16-040,1000,400,238,900,600,6000,714,1200,100,524,40,282
NSE Inside,King Salmon River,111-17-010,800,1700,4600,3000,4000,3800,12000,3200,2000,3100,2500,1400
NSE Inside,Prospect Creek,111-33-010,1100,1900,2900,3000,700,550,4300,1800,1700,3500,600,800
NSE Inside,Admiralty Creek,111-41-005,583,500,300,731,1700,150,500,500,680,4000,400,300
NSE Inside,Fish Creek,111-50-069,888,1058,764,205,125,1426,1541,1900,546,1049,118,417
NSE Inside,Robinson Creek,112-15-062,800,2400,1750,4000,2300,752,1340,3800,909,1500,438,2200
NSE Inside,Wilson River,112-19-010,2900,1700,1014,2500,3500,100,1000,3605,50,1700,150,2900
NSE Inside,Clear River Kelp Bay,112-21-005,400,3201,400,1070,550,900,205,400,470,350,900,600
NSE Inside,Ralphs Creek,112-21-006,4000,2200,2600,3350,9300,10500,1610,11750,6500,2300,215,682
NSE Inside,Kadashan River,112-42-025,2500,500,800,500,21000,1500,4414,3000,4000,600,1400,1100
NSE Inside,Saltery Bay,112-44-010,1100,500,300,2269,1550,800,800,4000,800,3800,4700,1200
NSE Inside,Seal Bay Head,112-46-009,6050,3750,2800,6500,22200,4500,12000,14100,1700,6000,2100,1500
NSE Inside,Long Bay Head,112-47-010,19000,3800,1800,4500,17500,7200,16000,25000,5900,9300,2400,1200
NSE Inside,Big Goose Creek,112-48-015,900,3000,1200,2500,7000,560,400,15800,4900,6100,1800,1100
NSE Inside,Little Goose Creek,112-48-019,5700,5300,1800,3000,8100,1190,19000,1000,200,50,200,500
NSE Inside,West Bay Head Creek,112-48-023,5800,4200,3900,2000,8000,6200,950,21600,4100,2600,1500,1800
NSE Inside,Tenakee Inlet Head,112-48-035,2800,1300,1200,2500,7500,225,8000,5500,4000,2800,1500,2500
NSE Inside,Kennel Creek,112-50-020,400,1500,800,300,650,1508,200,4419,0,300,1000,1500
NSE Inside,Freshwater Creek,112-50-030,1000,1500,700,2000,6000,690,1500,2068,813,921,1200,2000
NSE Inside,Greens Creek,112-65-024,550,200,1100,3000,1810,876,1562,2593,300,200,476,300
NSE Inside,Weir Creek N Arm Hood Bay,112-72-011,1749,1887,1000,500,3000,1640,2923,4893,1924,2178,920,300
NSE Inside,Weir Creek S Arm Hood Bay,112-73-024,500,1500,700,400,500,1246,2221,3695,0,5000,708,1500
NSE Inside,Chaik Bay Creek,112-80-028,4100,1300,900,1800,19500,6500,4500,20000,8000,4000,2500,5500
NSE Inside,Whitewater Creek,112-90-014,1500,1000,700,1500,2300,400,2203,3688,300,600,100,550
NSE Inside,Saook Bay West Head,113-53-003,1800,490,2400,1420,5146,2300,795,6000,4180,2100,2500,1210
NSE Inside,Rodman Creek,113-54-007,1800,370,800,520,15300,2200,1835,15000,6150,460,1085,300
NSE Inside,Ushk Bay W End,113-56-003,1070,770,130,270,2000,300,140,1000,2500,300,650,200
NSE Inside,Mud Bay River,114-23-070,600,3000,900,800,10000,846,3000,4600,1000,5000,1200,2000
NSE Inside,Homeshore Creek,114-25-010,561,2200,1400,2500,3500,607,1082,1811,712,806,100,435
NSE Inside,Spasski Creek,114-27-030,1500,2000,1800,4000,800,900,5000,3500,600,3500,600,2000
NSE Inside,Game Creek,114-31-013,3760,1500,300,2500,15500,500,5000,10000,2800,6200,500,6000
NSE Inside,Seagull Creek,114-32-004,75,250,600,500,900,851,400,2494,700,1000,466,598
NSE Inside,Neka River,114-33-023,1050,1700,5900,4500,10700,1400,2500,2900,5300,9500,1370,1500
NSE Inside,Humpback Creek-Port Frederick,114-34-010,500,900,1300,1300,2400,1887,6000,7800,2900,3200,2700,500
NSE Inside,Trail River,114-40-035,560,1700,686,2500,4600,120,1543,5100,2100,8000,1200,4000
NSE Inside,St. James Bay NW Side,115-10-042,413,500,323,120,200,370,5400,1293,508,200,240,308
NSE Inside,St. James Creek,115-10-046,100,602,435,705,1568,50,924,1546,608,300,288,369
NSE Inside,Endicott River,115-10-080,500,15800,3500,23000,3000,1945,4000,3020,2229,1200,400,2000
NSE Inside,Berners River,115-20-010,5800,12000,1100,3300,1000,1048,600,3076,1209,300,571,732
NSE Inside,Sawmill Creek,115-20-052,500,1000,200,2000,1845,617,1100,1451,501,189,200,142
NSE Outside,Whale Bay Great Arm Head,113-22-015,4200,3000,2420,8550,2230,1510,6730,4200,3300,7100,1800,1300
NSE Outside,Kalinin Cove Hd,113-62-009,5140,2000,580,1190,1000,1500,1250,100,1570,5000,200,682
NSE Outside,Waterfall Cove Creek,113-73-006,550,215,1000,210,990,1000,783,430,210,1000,1500,500
NSE Outside,Slocum Arm Head,113-73-010,3400,275,1733,500,1800,2090,1250,1290,2480,3090,1031,655
NSE Outside,Khaz Creek,113-73-012,730,57,281,230,900,1265,1200,2150,1100,1000,656,85
